family,index,seed,grid_size,valid_grid_points
smooth_low_variation,0,20260513,56,2576
smooth_low_variation,1,20260514,56,2576
smooth_low_variation,2,20260515,56,2576
smooth_low_variation,3,20260516,56,2576
smooth_low_variation,4,20260517,56,2576
edge_rolloff,0,20261513,56,2576
edge_rolloff,1,20261514,56,2576
edge_rolloff,2,20261515,56,2576
edge_rolloff,3,20261516,56,2576
edge_rolloff,4,20261517,56,2576
local_bump,0,20262513,56,2576
local_bump,1,20262514,56,2576
local_bump,2,20262515,56,2576
local_bump,3,20262516,56,2576
local_bump,4,20262517,56,2576
mid_frequency,0,20263513,56,2576
mid_frequency,1,20263514,56,2576
mid_frequency,2,20263515,56,2576
mid_frequency,3,20263516,56,2576
mid_frequency,4,20263517,56,2576
