method,degree,mean_global_rmse,mean_local_rmse,mean_condition
afp_baseline,3,0.0023081619147024097,0.0031959202749551733,18.121070004280085
afp_baseline,5,0.0015802982055513367,0.0022242434463701976,180.1374148827262
afp_baseline,7,0.0010143530232901827,0.0016515853462745716,2233.7913447830915
afp_baseline,9,0.0028019233607542793,0.005342792438664027,55238.987793666915
afp_baseline,11,0.008330367871954089,0.014851704328149945,188092.39380514188
afp_exchange,3,0.0023427220264981563,0.0031346595901687604,18.46485189286896
afp_exchange,5,0.0016136891227434464,0.0021439208466948255,184.99284438541366
afp_exchange,7,0.0011366381669323927,0.001720908270706812,2239.714489226805
afp_exchange,9,0.0036669628785630805,0.006236052649003967,50588.13125287277
afp_exchange,11,0.05294101192887428,0.08055752518537286,526502.6321210109
hessian_weighted,3,0.0024002489746952297,0.003178586023945572,17.817888561835453
hessian_weighted,5,0.0016462713167107706,0.002170650046116615,211.2533672763925
hessian_weighted,7,0.0010589359023134269,0.0013509233826821945,2397.144779271569
hessian_weighted,9,0.0036955424772176114,0.004684335997545187,51505.513838945204
hessian_weighted,11,0.017585889818870905,0.024659344267470962,190320.2081364736
jittered_grid,3,0.0024994937497973295,0.0038489871816619033,25.705244385246694
jittered_grid,5,0.0022386465318378207,0.0038279032402405164,310.81275411050296
jittered_grid,7,0.003441507366414076,0.006863812387203692,4970.458958196979
jittered_grid,9,0.022094538389314432,0.04577014304379843,124396.30849385296
jittered_grid,11,0.03535607655674934,0.07215581914415412,462606.8113146674
random_uniform,3,0.00255193468156776,0.003983291941395515,22.83708852135849
random_uniform,5,0.0033347091426634444,0.0057745851307155135,259.9616928353495
random_uniform,7,0.005605274333492557,0.010469519547570917,4642.902525361029
random_uniform,9,0.06326952789784256,0.12063239418747887,297876.36840930826
random_uniform,11,0.04963821895631425,0.09451192014435147,3321577.0136769256
regular_grid,3,0.0026016265360222406,0.003977301912837585,24.943654782736285
regular_grid,5,0.0023950015077778487,0.004084753511429307,327.43361648916
regular_grid,7,0.005977750088899688,0.012151691508696879,7676.108739186784
regular_grid,9,0.0046913046994067715,0.008634807896328438,7.740388647875342e+17
regular_grid,11,0.009119997632560868,0.015060496123218334,4.0495343611893235e+17
