family,index,layout,high_hessian_point_ratio,high_hessian_point_count,mean_fill_distance_high_hessian,mean_nn_distance_inside_high_hessian_samples
smooth_low_variation,0,afp,0.234375,15,0.08264902005318836,0.321104636558931
smooth_low_variation,0,exchange,0.359375,23,0.06622423567269115,0.17501259059316926
smooth_low_variation,1,afp,0.3125,20,0.07589819898121651,0.23468335507262714
smooth_low_variation,1,exchange,0.421875,27,0.0610149878636432,0.17566146111288727
smooth_low_variation,2,afp,0.296875,19,0.07433304030841426,0.2596207471507616
smooth_low_variation,2,exchange,0.40625,26,0.06158483898014745,0.1774242427391379
smooth_low_variation,3,afp,0.296875,19,0.0784313959485667,0.2557797096552994
smooth_low_variation,3,exchange,0.40625,26,0.06425226696565982,0.1857688509648182
smooth_low_variation,4,afp,0.3125,20,0.07149361140475233,0.24653148213510243
smooth_low_variation,4,exchange,0.421875,27,0.05960373670703092,0.18071582101849556
edge_rolloff,0,afp,0.265625,17,0.08150748890678722,0.2708198257637575
edge_rolloff,0,exchange,0.390625,25,0.0680846754538048,0.17522032598098292
edge_rolloff,1,afp,0.3125,20,0.07761714930565523,0.2742542401275373
edge_rolloff,1,exchange,0.375,24,0.06986792395361448,0.20463609447305273
edge_rolloff,2,afp,0.296875,19,0.07527076877274946,0.2662101861452808
edge_rolloff,2,exchange,0.375,24,0.0632161003373625,0.19344582786763653
edge_rolloff,3,afp,0.265625,17,0.08491692948168854,0.2997301008257047
edge_rolloff,3,exchange,0.421875,27,0.06407247506262077,0.1465280326024951
edge_rolloff,4,afp,0.265625,17,0.07972933601530757,0.25367159693975383
edge_rolloff,4,exchange,0.390625,25,0.06335385570946972,0.15222681798236665
local_bump,0,afp,0.28125,18,0.08190282055487615,0.29030009551320357
local_bump,0,exchange,0.375,24,0.06658893743165935,0.21716022499016638
local_bump,1,afp,0.21875,14,0.08501254943545081,0.2606299538178986
local_bump,1,exchange,0.3125,20,0.06898309591554003,0.1823379184974973
local_bump,2,afp,0.21875,14,0.08129543716973608,0.28885615925966024
local_bump,2,exchange,0.328125,21,0.06566570431524499,0.180965565265408
local_bump,3,afp,0.265625,17,0.0779524801224319,0.23299102205956979
local_bump,3,exchange,0.421875,27,0.06329848722012676,0.13239937536917734
local_bump,4,afp,0.265625,17,0.07732333179398387,0.26914306353970613
local_bump,4,exchange,0.390625,25,0.062510196711582,0.18057656733208172
mid_frequency_undulation,0,afp,0.265625,17,0.07923574835573466,0.25038726848797266
mid_frequency_undulation,0,exchange,0.359375,23,0.06465711597446674,0.20664067243752263
mid_frequency_undulation,1,afp,0.296875,19,0.07353791740938165,0.24622092038745558
mid_frequency_undulation,1,exchange,0.4375,28,0.05644883432789761,0.1541513876677141
mid_frequency_undulation,2,afp,0.296875,19,0.07993242857434467,0.23587334759927323
mid_frequency_undulation,2,exchange,0.40625,26,0.06732044692578491,0.17621433194862043
mid_frequency_undulation,3,afp,0.234375,15,0.0841688031809368,0.2995028851397055
mid_frequency_undulation,3,exchange,0.375,24,0.06860781523013242,0.2057211296819775
mid_frequency_undulation,4,afp,0.265625,17,0.07976066567550837,0.2853888689177974
mid_frequency_undulation,4,exchange,0.359375,23,0.07153442928001506,0.21296343895805858
