family,index,layout,high_hessian_point_ratio,mean_fill_distance_high_hessian
smooth_low_variation,0,afp,0.3125,0.0775241484926013
smooth_low_variation,0,exchange,0.53125,0.055815691822068386
smooth_low_variation,1,afp,0.34375,0.06984745907751905
smooth_low_variation,1,exchange,0.59375,0.04393549555692592
smooth_low_variation,2,afp,0.34375,0.07162365788735613
smooth_low_variation,2,exchange,0.609375,0.04335757497831656
smooth_low_variation,3,afp,0.328125,0.07374801679679904
smooth_low_variation,3,exchange,0.546875,0.051714250636077
smooth_low_variation,4,afp,0.375,0.06572152414347904
smooth_low_variation,4,exchange,0.578125,0.048524476160052246
edge_rolloff,0,afp,0.34375,0.07536439825167578
edge_rolloff,0,exchange,0.53125,0.05418866941581035
edge_rolloff,1,afp,0.328125,0.06904744905878546
edge_rolloff,1,exchange,0.5,0.053443507597814605
edge_rolloff,2,afp,0.34375,0.07001822488712317
edge_rolloff,2,exchange,0.5,0.04971429797231025
edge_rolloff,3,afp,0.375,0.07315783651473906
edge_rolloff,3,exchange,0.671875,0.04467235440457434
edge_rolloff,4,afp,0.390625,0.07176105668012354
edge_rolloff,4,exchange,0.640625,0.048233194410723004
local_bump,0,afp,0.25,0.08380701672610161
local_bump,0,exchange,0.484375,0.05745680748901108
local_bump,1,afp,0.296875,0.08002646256615265
local_bump,1,exchange,0.515625,0.04788263112300421
local_bump,2,afp,0.296875,0.07499259023412298
local_bump,2,exchange,0.5625,0.04508496247883064
local_bump,3,afp,0.296875,0.07803492958805923
local_bump,3,exchange,0.578125,0.04573930945225985
local_bump,4,afp,0.296875,0.07240576288863933
local_bump,4,exchange,0.5625,0.047049046949721764
mid_frequency_undulation,0,afp,0.40625,0.06620123110909588
mid_frequency_undulation,0,exchange,0.609375,0.04663963180196984
mid_frequency_undulation,1,afp,0.3125,0.07098615842742
mid_frequency_undulation,1,exchange,0.5,0.0526461783770942
mid_frequency_undulation,2,afp,0.34375,0.07438499848396934
mid_frequency_undulation,2,exchange,0.53125,0.051229839569576774
mid_frequency_undulation,3,afp,0.296875,0.07609447329158565
mid_frequency_undulation,3,exchange,0.484375,0.0530421997999886
mid_frequency_undulation,4,afp,0.265625,0.07935338483201225
mid_frequency_undulation,4,exchange,0.5,0.05164436940977874
