family,index,global_improvement,high_improvement,low_improvement
edge_rolloff,0,0.17857482625598772,0.4516119244174324,-0.022975067837565137
edge_rolloff,1,0.17638993613129678,0.3716570542274235,0.03891517578197659
edge_rolloff,2,0.16603597548482124,0.33999168887809317,0.04755669920940541
edge_rolloff,3,0.21343892758124275,0.461923453869448,0.03982363534042821
edge_rolloff,4,0.24768284647015834,0.3305346734175801,0.17528751605983398
local_bump,0,0.43468028779355883,0.7621509506046366,-0.3647160540890556
local_bump,1,0.44021349978458757,0.49643368170230834,0.2881916639142884
local_bump,2,0.47208224341889116,0.7800834210491474,0.11039797296022748
local_bump,3,0.4557929820522445,0.6052173868057289,0.0009716886299317407
local_bump,4,0.2148235543699847,0.4110526151007697,-0.15494713143425365
mid_frequency_undulation,0,0.2260680739871201,0.6711479738530125,0.11043252401495011
mid_frequency_undulation,1,0.41952797697368205,0.6827204165566051,-0.0821314756852221
mid_frequency_undulation,2,0.18823153414176544,0.5125802910246295,-0.24302668383890816
mid_frequency_undulation,3,0.275128772040748,0.5919184094033316,0.14621088618469819
mid_frequency_undulation,4,0.4378882065460951,0.6672784497186421,-0.06208496036622335
smooth_low_variation,0,0.48868080250186763,0.6231598310820392,0.315999948514918
smooth_low_variation,1,0.29068899368376744,0.6427344776469242,-0.08271010836345585
smooth_low_variation,2,0.15902282747083274,0.5027525917067155,-0.35524548427499986
smooth_low_variation,3,0.23129217834906723,0.6282455057402289,-0.20625982666346918
smooth_low_variation,4,0.10070171350137387,0.3581526052483537,-0.4368123133751525
