mode,family,index,instance_seed,candidate_pool_seed,afp_seed,exchange_seed
practical,smooth_low_variation,0,20260513,20260587,20260597,20260563
practical,smooth_low_variation,1,20260514,20260588,20260598,20260564
practical,smooth_low_variation,2,20260515,20260589,20260599,20260565
practical,smooth_low_variation,3,20260516,20260590,20260600,20260566
practical,smooth_low_variation,4,20260517,20260591,20260601,20260567
practical,edge_rolloff,0,20261513,20261587,20261597,20261563
practical,edge_rolloff,1,20261514,20261588,20261598,20261564
practical,edge_rolloff,2,20261515,20261589,20261599,20261565
practical,edge_rolloff,3,20261516,20261590,20261600,20261566
practical,edge_rolloff,4,20261517,20261591,20261601,20261567
practical,local_bump,0,20262513,20262587,20262597,20262563
practical,local_bump,1,20262514,20262588,20262598,20262564
practical,local_bump,2,20262515,20262589,20262599,20262565
practical,local_bump,3,20262516,20262590,20262600,20262566
practical,local_bump,4,20262517,20262591,20262601,20262567
practical,mid_frequency_undulation,0,20263513,20263587,20263597,20263563
practical,mid_frequency_undulation,1,20263514,20263588,20263598,20263564
practical,mid_frequency_undulation,2,20263515,20263589,20263599,20263565
practical,mid_frequency_undulation,3,20263516,20263590,20263600,20263566
practical,mid_frequency_undulation,4,20263517,20263591,20263601,20263567
